school,gpa,sat,act,outcome,first_gen,state,sat_normalized,outcome_binary
upenn,4.0,1440.0,,rejected,0,Massachusetts,1440.0,0
jhu,4.0,1440.0,,rejected,0,Massachusetts,1440.0,0
duke,4.0,1440.0,,rejected,0,Massachusetts,1440.0,0
stanford,4.0,1440.0,,rejected,0,Massachusetts,1440.0,0
uchicago,4.0,1440.0,,rejected,0,Massachusetts,1440.0,0
unf,3.98,1510.0,,accepted,0,Florida,1510.0,1
usf,3.98,1510.0,,accepted,0,Florida,1510.0,1
uf,3.98,1510.0,,accepted,0,Florida,1510.0,1
upitt,3.98,1510.0,,accepted,0,Florida,1510.0,1
rutgers,3.98,1510.0,,accepted,0,Florida,1510.0,1
uga,3.98,1510.0,,accepted,0,Florida,1510.0,1
uw-madison,3.98,1510.0,,accepted,0,Florida,1510.0,1
umich,3.98,1510.0,,accepted,0,Florida,1510.0,1
virginia tech,3.98,1510.0,,accepted,0,Florida,1510.0,1
northeastern,3.98,1510.0,,accepted,0,Florida,1510.0,1
uw,3.98,1510.0,,accepted,0,Florida,1510.0,1
georgia tech,3.98,1510.0,,waitlisted,0,Florida,1510.0,0
tufts,3.98,1510.0,,waitlisted,0,Florida,1510.0,0
emory,3.98,1510.0,,waitlisted,0,Florida,1510.0,0
uva,3.98,1510.0,,rejected,0,Florida,1510.0,0
unc,3.98,1510.0,,rejected,0,Florida,1510.0,0
cwru,3.98,1510.0,,rejected,0,Florida,1510.0,0
northwestern,3.98,1510.0,,rejected,0,Florida,1510.0,0
vanderbilt,3.98,1510.0,,rejected,0,Florida,1510.0,0
cornell,3.98,1510.0,,rejected,0,Florida,1510.0,0
stanford,4.0,1520.0,,accepted,1,California,1520.0,1
university of texas at austin,3.96,1440.0,,accepted,0,Texas,1440.0,1
brown,4.0,1550.0,,rejected,0,MA,1550.0,0
mcgill,4.0,1510.0,,accepted,0,NY,1510.0,1
union college,4.0,1510.0,,accepted,0,NY,1510.0,1
uc davis,4.0,1510.0,,accepted,0,NY,1510.0,1
university of manchester,4.0,1510.0,,accepted,0,NY,1510.0,1
franklin & marshall,4.0,1510.0,,waitlisted,0,NY,1510.0,0
occidental,4.0,1510.0,,waitlisted,0,NY,1510.0,0
skidmore,4.0,1510.0,,waitlisted,0,NY,1510.0,0
northeastern,4.0,1510.0,,rejected,0,NY,1510.0,0
university of virginia,4.0,1510.0,,rejected,0,NY,1510.0,0
mit,4.0,1510.0,,rejected,0,NY,1510.0,0
university of chicago,4.0,1510.0,,rejected,0,NY,1510.0,0
tufts,4.0,1510.0,,rejected,0,NY,1510.0,0
johns hopkins university,4.0,1510.0,,rejected,0,NY,1510.0,0
harvard,4.0,,35.0,accepted,0,Arizona,1540.0,1
yale,4.0,,35.0,accepted,0,Arizona,1540.0,1
princeton,4.0,,35.0,accepted,0,Arizona,1540.0,1
stanford,4.0,,35.0,accepted,0,Arizona,1540.0,1
mit,4.0,,35.0,accepted,0,Arizona,1540.0,1
duke,4.0,,35.0,waitlisted,0,Arizona,1540.0,0
state school,3.95,1520.0,,accepted,0,East Coast,1520.0,1
indiana university kelley,3.95,1520.0,,accepted,0,East Coast,1520.0,1
university of virginia,3.95,1520.0,,accepted,0,East Coast,1520.0,1
boston college,3.95,1520.0,,accepted,0,East Coast,1520.0,1
boston university,3.95,1520.0,,accepted,0,East Coast,1520.0,1
university of michigan,3.95,1520.0,,accepted,0,East Coast,1520.0,1
cornell university,3.95,1520.0,,accepted,0,East Coast,1520.0,1
yale university,3.95,1520.0,,accepted,0,East Coast,1520.0,1
northeastern university,3.95,1520.0,,waitlisted,0,East Coast,1520.0,0
oregon tech,4.0,1490.0,,accepted,0,Oregon,1490.0,1
oregon state university,4.0,1490.0,,accepted,0,Oregon,1490.0,1
university of oregon,4.0,1490.0,,accepted,0,Oregon,1490.0,1
george washington university,4.4,1280.0,,accepted,0,,1280.0,1
catholic university of america,4.4,1280.0,,accepted,0,,1280.0,1
boston college,4.4,1280.0,,accepted,0,,1280.0,1
washington and lee university,4.4,1280.0,,waitlisted,0,,1280.0,0
american university,4.4,1280.0,,accepted,0,,1280.0,1
tufts university,4.4,1280.0,,rejected,0,,1280.0,0
georgetown university,4.4,1280.0,,rejected,0,,1280.0,0
new york university,4.4,1280.0,,rejected,0,,1280.0,0
